entry_time,exit_time,type,entry_level,entry_price,exit_price,pnl,reason
2026-01-28 10:50:00+05:30,2026-01-28 11:05:00+05:30,BUY,321,321,322.0,0.5499,TARGET
2026-01-28 11:05:00+05:30,2026-01-28 11:45:00+05:30,BUY,322,322,320.75,-1.699925,EMA_SWITCH
2026-01-28 11:40:00+05:30,2026-01-28 11:45:00+05:30,BUY,321,321,320.75,-0.699225,EMA_SWITCH
2026-01-28 11:45:00+05:30,2026-01-28 11:55:00+05:30,SHORT,321,321,321.1000061035156,-0.5494761077880859,EMA_SWITCH
2026-01-28 11:55:00+05:30,2026-01-28 12:05:00+05:30,BUY,321,321,320.95001220703125,-0.4993528015136719,EMA_SWITCH
2026-01-28 12:05:00+05:30,2026-01-28 12:40:00+05:30,SHORT,321,321,320.0,0.5513,TARGET
2026-01-28 12:40:00+05:30,2026-01-28 14:50:00+05:30,SHORT,320,320,321.45001220703125,-1.8990272155761718,EMA_SWITCH
2026-01-28 14:50:00+05:30,2026-01-28 14:50:00+05:30,BUY,320,320,321.0,0.5513,TARGET
2026-01-28 14:50:00+05:30,2026-01-28 15:25:00+05:30,BUY,321,321,321.3999938964844,-0.049686099243164084,EOD
2026-01-29 09:15:00+05:30,2026-01-29 09:15:00+05:30,BUY,320,320,321.0,0.5513,TARGET
2026-01-29 09:15:00+05:30,2026-01-29 09:15:00+05:30,BUY,321,321,322.0,0.5499,TARGET
2026-01-29 09:15:00+05:30,2026-01-29 09:20:00+05:30,BUY,322,322,320.5,-1.9497499999999999,EMA_SWITCH
2026-01-29 09:20:00+05:30,2026-01-29 09:35:00+05:30,SHORT,321,321,320.0,0.5513,TARGET
2026-01-29 09:35:00+05:30,2026-01-29 09:40:00+05:30,SHORT,320,320,319.0,0.5527,TARGET
2026-01-29 09:40:00+05:30,2026-01-29 14:20:00+05:30,SHORT,319,319,319.04998779296875,-0.4966227844238281,EMA_SWITCH
2026-01-29 14:20:00+05:30,2026-01-29 15:00:00+05:30,BUY,319,319,318.6000061035156,-0.8463139007568359,EMA_SWITCH
2026-01-29 15:00:00+05:30,2026-01-29 15:25:00+05:30,SHORT,319,319,318.79998779296875,-0.24644778442382814,EOD
2026-01-30 09:15:00+05:30,2026-01-30 09:15:00+05:30,BUY,317,317,318.0,0.5555,TARGET
2026-01-30 09:15:00+05:30,2026-01-30 09:15:00+05:30,BUY,318,318,319.0,0.5541,TARGET
2026-01-30 09:15:00+05:30,2026-01-30 09:15:00+05:30,BUY,319,319,320.0,0.5527,TARGET
2026-01-30 09:20:00+05:30,2026-01-30 09:20:00+05:30,BUY,319,319,320.0,0.5527,TARGET
2026-01-30 09:15:00+05:30,2026-01-30 09:25:00+05:30,BUY,320,320,321.0,0.5513,TARGET
2026-01-30 09:25:00+05:30,2026-01-30 09:35:00+05:30,BUY,321,321,322.0,0.5499,TARGET
2026-01-30 09:40:00+05:30,2026-01-30 09:50:00+05:30,BUY,321,321,322.0,0.5499,TARGET
2026-01-30 09:35:00+05:30,2026-01-30 10:00:00+05:30,BUY,322,322,323.0,0.5485,TARGET
2026-01-30 10:00:00+05:30,2026-01-30 10:00:00+05:30,BUY,323,323,324.0,0.5471,TARGET
2026-01-30 10:00:00+05:30,2026-01-30 10:05:00+05:30,BUY,324,324,325.0,0.5457000000000001,TARGET
2026-01-30 10:10:00+05:30,2026-01-30 10:10:00+05:30,BUY,324,324,325.0,0.5457000000000001,TARGET
2026-01-30 10:15:00+05:30,2026-01-30 10:15:00+05:30,BUY,323,323,324.0,0.5471,TARGET
2026-01-30 10:05:00+05:30,2026-01-30 11:05:00+05:30,BUY,325,325,320.5,-4.95185,EMA_SWITCH
2026-01-30 10:15:00+05:30,2026-01-30 11:05:00+05:30,BUY,324,324,320.5,-3.95115,EMA_SWITCH
2026-01-30 10:20:00+05:30,2026-01-30 11:05:00+05:30,BUY,323,323,320.5,-2.95045,EMA_SWITCH
2026-01-30 10:25:00+05:30,2026-01-30 11:05:00+05:30,BUY,322,322,320.5,-1.9497499999999999,EMA_SWITCH
2026-01-30 11:05:00+05:30,2026-01-30 11:15:00+05:30,SHORT,321,321,320.0,0.5513,TARGET
2026-01-30 11:05:00+05:30,2026-01-30 11:35:00+05:30,SHORT,320,320,321.1000061035156,-1.548776107788086,EMA_SWITCH
2026-01-30 11:35:00+05:30,2026-01-30 11:40:00+05:30,BUY,321,321,320.5,-0.94905,EMA_SWITCH
2026-01-30 11:40:00+05:30,2026-01-30 12:00:00+05:30,SHORT,321,321,320.0,0.5513,TARGET
2026-01-30 12:00:00+05:30,2026-01-30 12:10:00+05:30,SHORT,320,320,320.79998779296875,-1.2485477844238282,EMA_SWITCH
2026-01-30 12:20:00+05:30,2026-01-30 13:15:00+05:30,BUY,321,321,320.6000061035156,-0.849113900756836,EMA_SWITCH
2026-01-30 13:15:00+05:30,2026-01-30 13:25:00+05:30,SHORT,321,321,321.1000061035156,-0.5494761077880859,EMA_SWITCH
2026-01-30 13:25:00+05:30,2026-01-30 13:40:00+05:30,BUY,321,321,322.0,0.5499,TARGET
